frame,sentence
0,.
1,.
2,.
3,.
4,.
5,.
6,.
7,.
8,.
9,.
10,.
11,.
12,.
13,.
14,.
15,.
16,.
17,.
18,.
19,.
20,.
21,.
22,.
23,.
24,.
25,.
26,Assalam
27,Assalam
28,Assalam
29,Assalam
30,Assalam
31,Assalam
32,Assalam
33,Assalam
34,Assalam
35,Assalam
36,Assalam
37,Assalam
38,Assalam
39,Assalam
40,Assalam
41,Assalam
42,Assalam
43,Asslam O
44,Asslam O
45,Asslam O
46,Asslam O
47,Asslam O
48,Asslam O
49,Asslam O
50,Assalam O Alaikum
51,Assalam O Alaikum
52,Assalam O Alaikum
53,Assalam O Alaikum
54,Assalam O Alaikum
55,Assalam O Alaikum
56,Assalam O Alaikum
57,Assalam O Alaikum
58,Assalam O Alaikum
59,Assalam O Alaikum
60,Assalam O Alaikum
61,.
62,.
63,.
64,.
65,.
66,.
67,.
68,.
69,.
70,.
71,I
72,I
73,I
74,I
75,I
76,I
77,I
78,I
79,I
80,I
81,I
82,I
83,I
84,I
85,I
86,I
87,I
88,I
89,I
90,I
91,I
92,I
93,I am 
94,I am 
95,I am 
96,I am 
97,I am 
98,I am 
99,I am 
100,I am 
101,I am 
102,I am 
103,I am 
104,I am 
105,I am 
106,I am 
107,I am 
108,I am 
109,I am 
110,I am 
111,I am 
112,I am 
113,I am 
114,I am 
115,I am 
116,I am Ameema
117,I am Ameema
118,I am Ameema
119,I am Ameema
120,I am Ameema
121,I am Ameema
122,I am Ameema
123,I am Ameema
124,I am Ameema
125,I am Ameema
126,I am Ameema
127,I am Ameema
128,I am Ameema
129,I am Ameema
130,I am Ameema
131,I am Ameema
132,I am Ameema
133,I am Ameema
134,I am Ameema
135,I am Ameema
136,I am Ameema Arif
137,I am Ameema Arif
138,I am Ameema Arif
139,I am Ameema Arif
140,I am Ameema Arif
141,I am Ameema Arif
142,I am Ameema Arif
143,I am Ameema Arif
144,I am Ameema Arif
145,I am Ameema Arif
146,I am Ameema Arif
147,I am Ameema Arif
148,I am Ameema Arif
149,I am Ameema Arif
150,I am Ameema Arif
151,.
152,.
153,.
154,.
155,.
156,.
157,.
158,.
159,.
160,.
161,.
162,.
163,.
164,.
165,.
166,This
167,This
168,This
169,This
170,This
171,This
172,This
173,This
174,This
175,This
176,This
177,This
178,This is 
179,This is 
180,This is 
181,This is 
182,This is 
183,This is 
184,This is 
185,This is 
186,This is 
187,This is 
188,This is 
189,This is 
190,This is 
191,This is 
192,This is 
193,This is 
194,This is my
195,This is my
196,This is my
197,This is my
198,This is my
199,This is my
200,This is my
201,This is my
202,This is my
203,This is my
204,This is my
205,This is my
206,This is my
207,This is my
208,This is my
209,This is my
210,This is my
211,This is my
212,This is my
213,This is my
214,This is my
215,This is my
216,This is my
217,This is my
218,This is my
219,This is my
220,This is my
221,This is my project
222,This is my project
223,This is my project
224,This is my project
225,This is my project
226,This is my project
227,This is my project
228,This is my project
229,This is my project
230,This is my project
231,This is my project
232,This is my project
233,This is my project
234,This is my project
235,This is my project
236,This is my project
237,This is my project
238,This is my project
239,This is my project
240,This is my project
241,This is my project
242,This is my project
243,This is my project
244,This is my project
245,This is my project
246,This is my project
247,This is my project
248,This is my project
249,This is my project
250,This is my project
251,This is my project
252,This is my project
253,This is my project
254,This is my project
255,This is my project
256,This is my project
257,This is my project
258,This is my project
259,This is my project
260,This is my project
261,This is my project live
262,This is my project live
263,This is my project live
264,This is my project live
265,This is my project live
266,This is my project live
267,This is my project live
268,This is my project live
269,This is my project live
270,This is my project live
271,This is my project live
272,This is my project live
273,This is my project live
274,This is my project live
275,This is my project live
276,This is my project live
277,This is my project live
278,This is my project live
279,This is my project live
280,This is my project live
281,This is my project live subtitles
282,This is my project live subtitles
283,This is my project live subtitles
284,This is my project live subtitles
285,This is my project live subtitles
286,This is my project live subtitles
287,This is my project live subtitles
288,This is my project live subtitles
289,This is my project live subtitles
290,This is my project live subtitles
291,This is my project live subtitles
292,This is my project live subtitles
293,This is my project live subtitles
294,This is my project live subtitles
295,This is my project live subtitles
296,This is my project live subtitles
297,This is my project live subtitles
298,This is my project live subtitles
299,This is my project live subtitles
300,This is my project live subtitles